"sentence","noun_phrase","grammatical","corrected"
"Another aim is to show that research in bilingualism can provide insight into the domain general cognitive control .","insight","no","an insight"
"Another aim is to show that research in bilingualism can provide insight into the domain general cognitive control .","research","yes","research"
"Another aim is to show that research in bilingualism can provide insight into the domain general cognitive control .","bilingualism","yes","bilingualism"
"Another aim is to show that research in bilingualism can provide insight into the domain general cognitive control .","insight","no","an insight"
"Another aim is to show that research in bilingualism can provide insight into the domain general cognitive control .","the domain general cognitive control","yes","the domain general cognitive control"
"The hypothesis is as follows .","The hypothesis","yes","The hypothesis"
"This leads to the conclusion that bilingual language control as operationalised via the code-switching task is domain-general .","This","yes","This"
"This leads to the conclusion that bilingual language control as operationalised via the code-switching task is domain-general .","bilingual language control","yes","bilingual language control"
"This leads to the conclusion that bilingual language control as operationalised via the code-switching task is domain-general .","the conclusion","yes","the conclusion"
"This leads to the conclusion that bilingual language control as operationalised via the code-switching task is domain-general .","bilingual language control","yes","bilingual language control"
"This leads to the conclusion that bilingual language control as operationalised via the code-switching task is domain-general .","the code-switching task","yes","the code-switching task"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","The methodology","yes","The methodology"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","Bosma","yes","Bosma"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","several cognitive control tasks","yes","several cognitive control tasks"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","a close replication","yes","a close replication"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","Bosma","yes","Bosma"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","Pablos","yes","Pablos"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","an extension","yes","an extension"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","the same design","yes","the same design"
"The methodology presents a close replication of Bosma & Pablos with an extension : the same design is applied to several cognitive control tasks .","several cognitive control tasks","no","the several cognitive control tasks"
"The later uses the minimal alteration in the location of the square in order to provide accurate ERP data .","the minimal alteration","no","minimal alteration"
"The later uses the minimal alteration in the location of the square in order to provide accurate ERP data .","the location","yes","the location"
"The later uses the minimal alteration in the location of the square in order to provide accurate ERP data .","the square","yes","the square"
"The later uses the minimal alteration in the location of the square in order to provide accurate ERP data .","accurate ERP data","yes","accurate ERP data"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","They","yes","They"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","two groups","yes","two groups"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","L1 - > L2","yes","L1 - > L2"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","sentences in Dutch","yes","sentences in Dutch"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","Dutch","yes","Dutch"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","that","yes","that"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","a code-switch","yes","a code-switch"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","English","yes","English"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","the second group","yes","the second group"
"They are equally divided into two groups : the first one ( L1 - > L2 ) is presented with sentences in Dutch that contained a code-switch in English and the second group ( L2 - > L1 ) is presented with the sentence in English containing a code-switch in Dutch .","L2 - > L1","yes","L2 - > L1"
"Participants are expected to be compensated for participating in the study .","Participants","yes","Participants"
"Participants are expected to be compensated for participating in the study .","the study","yes","the study"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","Participants Ûa level","yes","Participants Ûa level"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","vocabulary test","no","a vocabulary test"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","self-assessment","no","a self-assessment"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","proficiency","yes","proficiency"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","English L2","yes","English L2"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","vocabulary test","no","a vocabulary test"
"Participants Ûa level of proficiency in English L2 is checked by vocabulary test and self-assessment .","self-assessment","no","a self-assessment"
"They should also self-estimate to code-switch relatively often by incorporating an English word in Dutch sentence only .","They","yes","They"
"They should also self-estimate to code-switch relatively often by incorporating an English word in Dutch sentence only .","code-switch","yes","code-switch"
"They should also self-estimate to code-switch relatively often by incorporating an English word in Dutch sentence only .","an English word","yes","an English word"
"They should also self-estimate to code-switch relatively often by incorporating an English word in Dutch sentence only .","Dutch sentence","no","a Dutch sentence"
"2.3 Stimuli and materials","materials","yes","materials"
"The stimuli that are expected to be used are exactly the same as those used by Bosma & Pablos available at https : //osf.io/wsavt/ .","The stimuli","yes","The stimuli"
"The stimuli that are expected to be used are exactly the same as those used by Bosma & Pablos available at https : //osf.io/wsavt/ .","that","yes","that"
"The stimuli that are expected to be used are exactly the same as those used by Bosma & Pablos available at https : //osf.io/wsavt/ .","those","yes","those"
"The stimuli that are expected to be used are exactly the same as those used by Bosma & Pablos available at https : //osf.io/wsavt/ .","Bosma","yes","Bosma"
"The stimuli that are expected to be used are exactly the same as those used by Bosma & Pablos available at https : //osf.io/wsavt/ .","Pablos","yes","Pablos"
"Extra comparable target sentences are added .","Extra comparable target sentences","yes","Extra comparable target sentences"
"Extra comparable target sentences are added .","Extra comparable target sentences","yes","Extra comparable target sentences"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","The macro-design","yes","The macro-design"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","a subject","yes","a subject"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","scores","no","the scores"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","each participant","yes","each participant"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","every experiment","yes","every experiment"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","the series","yes","the series"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","their own results","yes","their own results"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","other experiment","no","the other experiment"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","participant A","yes","participant A"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","Flanker task type","no","a Flanker task type"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","experiment","yes","experiment"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","the scores","yes","the scores"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","the same participant","yes","the same participant"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","the Stroop task type","no","a Stroop task type"
"The macro-design is a within subject design implying that scores of each participant on every experiment in the series are compared to their own results of other experiment in the series ( scores for participant A on Flanker task type of experiment are compared to the scores of the same participant A on the Stroop task type of experimenting Simon task type of experiment ) .","Simon task type","yes","Simon task type"
"Participants are randomly assigned to L1 - > L2 or L2 - > L1 groups .","Participants","yes","Participants"
"Participants are randomly assigned to L1 - > L2 or L2 - > L1 groups .","L1 - > L2","no","the L1 - > L2"
"Participants are randomly assigned to L1 - > L2 or L2 - > L1 groups .","L2 - > L1 groups","no","the L2 - > L1 groups"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","each group","yes","each group"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","participants","no","the participants"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","each experiment","yes","each experiment"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","the series","yes","the series"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","participants","no","the participants"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","a sentence","yes","a sentence"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","their L1","yes","their L1"
"In each group for each experiment in the series participants are firstly being presented with a sentence in their L1 containing or not containing a code-switch .","a code-switch","yes","a code-switch"
"This is followed by a trial ( congruent or incongruent ) in respective cognitive control task .","This","yes","This"
"This is followed by a trial ( congruent or incongruent ) in respective cognitive control task .","a trial","yes","a trial"
"This is followed by a trial ( congruent or incongruent ) in respective cognitive control task .","congruent","yes","congruent"
"This is followed by a trial ( congruent or incongruent ) in respective cognitive control task .","incongruent","yes","incongruent"
"This is followed by a trial ( congruent or incongruent ) in respective cognitive control task .","respective cognitive control task","yes","respective cognitive control task"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","The following combinations","yes","The following combinations"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","non-code witch","yes","non-code witch"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","no conflict","yes","no conflict"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","sentence","yes","sentence"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","a congruent CC task trial","yes","a congruent CC task trial"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","no conflict","yes","no conflict"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","CC task trial","yes","CC task trial"
"The following combinations are taking place : non-code-switch ( no conflict ) sentence followed by a congruent CC task trial ( no conflict )","congruent CC task trial","yes","congruent CC task trial"
"Rapid serial visual presentation is used to present the sentences .","Rapid serial visual presentation","no","A rapid serial visual presentation"
"Rapid serial visual presentation is used to present the sentences .","the sentences","yes","the sentences"
"RT and P300 amplitude is being measured .","RT and P300 amplitude","yes","RT and P300 amplitude"
"RT and P300 amplitude is being measured .","RT and P300 amplitude","yes","RT and P300 amplitude"
"The results are expected to support the findings by Bosma & Pablos regarding the conflict adaptation effect .","The results","yes","The results"
"The results are expected to support the findings by Bosma & Pablos regarding the conflict adaptation effect .","the findings","yes","the findings"
"The results are expected to support the findings by Bosma & Pablos regarding the conflict adaptation effect .","Bosma","yes","Bosma"
"The results are expected to support the findings by Bosma & Pablos regarding the conflict adaptation effect .","Pablos","yes","Pablos"
"The results are expected to support the findings by Bosma & Pablos regarding the conflict adaptation effect .","the conflict adaptation effect","yes","the conflict adaptation effect"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","The RT results","yes","The RT results"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","incongruent ones","no","the incongruent ones"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","main effect","no","the main effect"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","congruency","yes","congruency"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","congruent CC task trials","yes","congruent CC task trials"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","all the cases","yes","all the cases"
"The RT results are expected to show that main effect of congruency : congruent CC task trials in all the cases are processed faster than incongruent ones .","incongruent ones","no","the incongruent ones"
"The processing speed increases with each next trial .","each next trial","yes","each next trial"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","The ERP measures","yes","The ERP measures"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","code-switch","no","the code-switch"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","absence","yes","absence"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","the amplitude","yes","the amplitude"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","the P300 wave","yes","the P300 wave"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","the presence","yes","the presence"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","absence","yes","absence"
"The ERP measures are focused on the amplitude of the P300 wave given the presence of absence of code-switch .","code-switch","no","the code-switch"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","The difference","yes","The difference"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the congruent","yes","the congruent"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the incongruent CC task trial","yes","the incongruent CC task trial"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the incongruent trial","yes","the incongruent trial"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the sentence","yes","the sentence"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the code-switch","no","a code-switch"
"The difference between the congruent and the incongruent CC task trial will be significantly smaller if the incongruent trial is preceded by the sentence with the code-switch in the L1 - > L2 context .","the L1 - > L2 context","yes","the L1 - > L2 context"
"The reverse will be true for the L2 - > L1 context ( smaller difference when preceded by the sentence without a code-switch ) .","The reverse","yes","The reverse"
"The reverse will be true for the L2 - > L1 context ( smaller difference when preceded by the sentence without a code-switch ) .","the L2 - > L1 context","yes","the L2 - > L1 context"
"The reverse will be true for the L2 - > L1 context ( smaller difference when preceded by the sentence without a code-switch ) .","( smaller difference","yes","( smaller difference"
"The reverse will be true for the L2 - > L1 context ( smaller difference when preceded by the sentence without a code-switch ) .","the sentence","yes","the sentence"
"The reverse will be true for the L2 - > L1 context ( smaller difference when preceded by the sentence without a code-switch ) .","a code-switch","yes","a code-switch"
"3.2 Internal validity of the cognitive control tasks","the cognitive control tasks","yes","the cognitive control tasks"
"Current trend in the research is the reverse one .","Current trend","yes","Current trend"
"Current trend in the research is the reverse one .","Current trend","yes","Current trend"
"Current trend in the research is the reverse one .","the research","yes","the research"
"TENSE MARKER IN ECUADORIAN SIONA","ECUADORIAN SIONA","yes","ECUADORIAN SIONA"
"TENSE MARKER IN ECUADORIAN SIONA","TENSE MARKER","yes","TENSE MARKER"
"TENSE MARKER IN ECUADORIAN SIONA","ECUADORIAN SIONA","yes","ECUADORIAN SIONA"
"Ecuadorian Siona is one of the languages spoken in the north-eastern part of Ecuador .","Ecuadorian Siona","yes","Ecuadorian Siona"
"Ecuadorian Siona is one of the languages spoken in the north-eastern part of Ecuador .","the languages","yes","the languages"
"Ecuadorian Siona is one of the languages spoken in the north-eastern part of Ecuador .","the north-eastern part","yes","the north-eastern part"
"Ecuadorian Siona is one of the languages spoken in the north-eastern part of Ecuador .","Ecuador","yes","Ecuador"
"In some cases the transmission across generations does not take place .","some cases","yes","some cases"
"In some cases the transmission across generations does not take place .","generations","yes","generations"
"In some cases the transmission across generations does not take place .","the transmission","yes","the transmission"
"In some cases the transmission across generations does not take place .","generations","yes","generations"
"In some cases the transmission across generations does not take place .","place","yes","place"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","The grammar","yes","The grammar"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","Siona","yes","Siona"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","white spots","yes","white spots"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","the documentation","yes","the documentation"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","representation","yes","representation"
"The grammar of Siona is relatively complex and there are still white spots in the documentation and representation of it .","it","yes","it"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","This feature","yes","This feature"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","portmanteau morphemes","no","the portmanteau morphemes"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","it","yes","it"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","the language","yes","the language"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","all the specific meanings","yes","all the specific meanings"
"This feature makes it difficult to analyse the language and discern all the specific meanings of portmanteau morphemes .","portmanteau morphemes","no","the portmanteau morphemes"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","The paper","yes","The paper"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","Bruil","yes","Bruil"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","the verbal portmanteau morphology","yes","the verbal portmanteau morphology"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","the diachronic perspective","yes","the diachronic perspective"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","order","yes","order"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","different specific meanings","no","the different specific meanings"
"The paper by Bruil is specifically focused on the verbal portmanteau morphology and mainly adopts the diachronic perspective in order to be able to locate different specific meanings of portmanteau morphemes in Siona verbs .","Siona verbs","yes","Siona verbs"
"Bruil also looks at the phonological processes diachronically .","Bruil","yes","Bruil"
"Bruil also looks at the phonological processes diachronically .","the phonological processes","yes","the phonological processes"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","The main claim","yes","The main claim"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","the article","yes","the article"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","the merge","yes","the merge"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","the morphemes","yes","the morphemes"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","the clause types","yes","the clause types"
"The main claim of the article is that the merge of the morphemes happened because the clause types were grammaticalised and the tense marker was lost .","the tense marker","yes","the tense marker"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","the historical change","yes","the historical change"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","consonants","yes","consonants"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","consonants","yes","consonants"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","the regularities","yes","the regularities"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","that","yes","that"
"Looking at the historical change in consonants helps to reveal the regularities in consonants that seem to be lost in modern language .","modern language","no","the modern language"
"There is also an alveolar lenis stop ( tap [ _ ] or voiced stop [ d ] ) .","an alveolar lenis","yes","an alveolar lenis"
"There is also an alveolar lenis stop ( tap [ _ ] or voiced stop [ d ] ) .","stop","yes","stop"
"There is also an alveolar lenis stop ( tap [ _ ] or voiced stop [ d ] ) .","stop","yes","stop"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","Bruil","yes","Bruil"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","lenis consonant","no","the lenis consonant"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","Bruil","yes","Bruil"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","the Proto-Tukanoan language","yes","the Proto-Tukanoan language"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","such a tense suffix","yes","such a tense suffix"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","it","yes","it"
"According to Bruil the Proto-Tukanoan language had such a tense suffix that it influenced the next following consonant ( lenis consonant was transformed into a fortis one ) .","lenis consonant","no","the lenis consonant"
"The article by Bruil is comparative to a great extent .","The article","yes","The article"
"The article by Bruil is comparative to a great extent .","Bruil","yes","Bruil"
"The article by Bruil is comparative to a great extent .","Bruil","yes","Bruil"
"The article by Bruil is comparative to a great extent .","a great extent","yes","a great extent"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","It","yes","It"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","Colombian Siona","yes","Colombian Siona"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","the analysis","yes","the analysis"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","Colombian Siona","yes","Colombian Siona"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","MÌÁÌ_h¬íÄki","yes","MÌÁÌ_h¬íÄki"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","that","yes","that"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","evidence","no","an evidence"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","the tense marker","yes","the tense marker"
"It is the analysis of Colombian Siona and MÌÁÌ_h¬íÄki that provides evidence for the tense marker < g > that was indeed lost due to lenition process .","lenition process","no","the lenition process"
"Language Variation and Change from the Italian heritage perspective .","Change","yes","Change"
"Language Variation and Change from the Italian heritage perspective .","Language Variation","yes","Language Variation"
"Language Variation and Change from the Italian heritage perspective .","Change","yes","Change"
"Language Variation and Change from the Italian heritage perspective .","the Italian heritage perspective","yes","the Italian heritage perspective"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","Which","yes","Which"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","varieties","no","the varieties"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","Italian","yes","Italian"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","linguistic variation","no","the linguistic variation"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","varieties","no","the varieties"
"Which aims to look at linguistic variation of varieties of Italian both synchronically and diachronically .","Italian","yes","Italian"
"Looking at the closely related languages allows for better accounting and explaining the syntactic variation .","the closely related languages","yes","the closely related languages"
"Looking at the closely related languages allows for better accounting and explaining the syntactic variation .","better accounting","no","a better accounting"
"Looking at the closely related languages allows for better accounting and explaining the syntactic variation .","the syntactic variation","yes","the syntactic variation"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","the data","yes","the data"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","the analysis","yes","the analysis"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","Bruil","yes","Bruil"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","the a discussion","no","the discussion"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","the framework","yes","the framework"
"This way the data and the analysis presented by Bruil can also contribute to the a discussion within the framework of theoretical syntax .","theoretical syntax","yes","theoretical syntax"
"It is convincing in reconstructing the models and explaining the way language change happened so that the portmanteau morphemes were formed .","It","yes","It"
"It is convincing in reconstructing the models and explaining the way language change happened so that the portmanteau morphemes were formed .","the models","yes","the models"
"It is convincing in reconstructing the models and explaining the way language change happened so that the portmanteau morphemes were formed .","the way","yes","the way"
"It is convincing in reconstructing the models and explaining the way language change happened so that the portmanteau morphemes were formed .","language change","yes","language change"
"It is convincing in reconstructing the models and explaining the way language change happened so that the portmanteau morphemes were formed .","the portmanteau morphemes","yes","the portmanteau morphemes"
